trade_date,price,quantity,direction,direction_price,asset_unit
2023-03-01 00:00:00,0.00016187,-282146549.77999985,sell,sell,LUNC
2023-03-01 01:00:00,0.00016234,-371369313.19,sell,buy,LUNC
2023-03-01 02:00:00,0.00016505,149643.32494771603,buy,buy,BUSD
2023-03-01 03:00:00,0.00016486,-412913772.5799999,sell,sell,LUNC
2023-03-01 04:00:00,0.00016498,2552.818305516613,buy,buy,BUSD
2023-03-01 05:00:00,0.00016431,-399969083.1899997,sell,sell,LUNC
2023-03-01 06:00:00,0.00016425,-195763966.77000034,sell,sell,LUNC
2023-03-01 07:00:00,0.00016415,-447128847.36,sell,sell,LUNC
2023-03-01 08:00:00,0.00016468,173501.3425895072,buy,buy,BUSD
2023-03-01 09:00:00,0.00016483,9739.057471216112,buy,buy,BUSD
2023-03-01 10:00:00,0.00016597,57483.52405342052,buy,buy,BUSD
2023-03-01 11:00:00,0.00016542,-253809691.82999992,sell,sell,LUNC
2023-03-01 12:00:00,0.00016467,-551756146.21,sell,sell,LUNC
2023-03-01 13:00:00,0.00016441,-264695082.39999962,sell,sell,LUNC
2023-03-01 14:00:00,0.00016469,30088.212823642858,buy,buy,BUSD
2023-03-01 15:00:00,0.00016486,23031.338288819392,buy,buy,BUSD
2023-03-01 16:00:00,0.00016498,-116670176.37000036,sell,buy,LUNC
2023-03-01 17:00:00,0.00016474,38557.37752278979,buy,sell,BUSD
2023-03-01 18:00:00,0.0001645,-564595596.2999997,sell,sell,LUNC
2023-03-01 19:00:00,0.00016381,-724752061.9399997,sell,sell,LUNC
2023-03-01 20:00:00,0.00016441,112180.03402144287,buy,buy,BUSD
2023-03-01 21:00:00,0.00016497,32145.134690213967,buy,buy,BUSD
2023-03-01 22:00:00,0.00016496,5944.756948395181,buy,sell,BUSD
2023-03-01 23:00:00,0.00016541,38394.29247626209,buy,buy,BUSD
2023-03-02 00:00:00,0.00016491,-214696438.05999994,sell,sell,LUNC
2023-03-02 01:00:00,0.00016405,-692526609.4900001,sell,sell,LUNC
2023-03-02 02:00:00,0.00016359,-635672915.32,sell,sell,LUNC
2023-03-02 03:00:00,0.00016371,40444.29484912352,buy,buy,BUSD
2023-03-02 04:00:00,0.00016393,-13543522.099999905,sell,buy,LUNC
2023-03-02 05:00:00,0.00016294,-195388477.9000001,sell,sell,LUNC
2023-03-02 06:00:00,0.0001633,17322.78210505004,buy,buy,BUSD
2023-03-02 07:00:00,0.00016408,-218971108.3000002,sell,buy,LUNC
2023-03-02 08:00:00,0.00017787,2146092.426639592,buy,buy,BUSD
2023-03-02 09:00:00,0.00017159,-2661156770.8899994,sell,sell,LUNC
2023-03-02 10:00:00,0.00017433,-351261100.66999817,sell,buy,LUNC
2023-03-02 11:00:00,0.00017291,-1499813059.42,sell,sell,LUNC
2023-03-02 12:00:00,0.00017035,-1371916767.9400024,sell,sell,LUNC
2023-03-02 13:00:00,0.00016954,-570514689.0700006,sell,sell,LUNC
2023-03-02 14:00:00,0.00017145,-347123352.09000015,sell,buy,LUNC
2023-03-02 15:00:00,0.0001709,7708.971200128013,buy,sell,BUSD
