trade_date,price,quantity,direction,direction_price,asset_unit
2023-03-01 00:00:00,0.02683057,-611292.0,sell,buy,USTC
2023-03-01 01:00:00,0.02690994,-377456.0,sell,buy,USTC
2023-03-01 02:00:00,0.02701506,36207.66357162,buy,buy,BUSD
2023-03-01 03:00:00,0.02714005,47333.14282165,buy,buy,BUSD
2023-03-01 04:00:00,0.0273,26146.0017,buy,buy,BUSD
2023-03-01 05:00:00,0.02716413,-219999.0,sell,sell,USTC
2023-03-01 06:00:00,0.02710152,-1436123.0,sell,sell,USTC
2023-03-01 07:00:00,0.02705682,5864.10576906,buy,sell,BUSD
2023-03-01 08:00:00,0.02732992,82148.51950528,buy,buy,BUSD
2023-03-01 09:00:00,0.02747,-842344.0,sell,buy,USTC
2023-03-01 10:00:00,0.02744308,-139719.0,sell,sell,USTC
2023-03-01 11:00:00,0.02731,-674916.0,sell,sell,USTC
2023-03-01 12:00:00,0.02730001,-628808.0,sell,sell,USTC
2023-03-01 13:00:00,0.02725306,-1990659.0,sell,sell,USTC
2023-03-01 14:00:00,0.02705,-3017638.0,sell,sell,USTC
2023-03-01 15:00:00,0.02708645,15342.5237006,buy,buy,BUSD
2023-03-01 16:00:00,0.02703748,-2728888.0,sell,sell,USTC
2023-03-01 17:00:00,0.02709342,18903.32297478,buy,buy,BUSD
2023-03-01 18:00:00,0.02705882,-627507.0,sell,sell,USTC
2023-03-01 19:00:00,0.02684386,-852371.0,sell,sell,USTC
2023-03-01 20:00:00,0.02684776,-1748911.0,sell,buy,USTC
2023-03-01 21:00:00,0.02708531,33763.70780139,buy,buy,BUSD
2023-03-01 22:00:00,0.02706986,7104.78252546,buy,sell,BUSD
2023-03-01 23:00:00,0.02712558,9926.66025216,buy,buy,BUSD
2023-03-02 00:00:00,0.027,-273234.0,sell,sell,USTC
2023-03-02 01:00:00,0.02693956,-580510.0,sell,sell,USTC
2023-03-02 02:00:00,0.02680625,-3617955.0,sell,sell,USTC
2023-03-02 03:00:00,0.02696,-467580.0,sell,buy,USTC
2023-03-02 04:00:00,0.02687536,-956798.0,sell,sell,USTC
2023-03-02 05:00:00,0.02690388,14382.30307428,buy,buy,BUSD
2023-03-02 06:00:00,0.02680275,-891440.0,sell,sell,USTC
2023-03-02 07:00:00,0.02693047,3904.54112342,buy,buy,BUSD
2023-03-02 08:00:00,0.02806,255435.82006000003,buy,buy,BUSD
2023-03-02 09:00:00,0.02784,-4404524.0,sell,sell,USTC
2023-03-02 10:00:00,0.0280359,126350.7642891,buy,buy,BUSD
2023-03-02 11:00:00,0.02770425,-5070653.0,sell,sell,USTC
2023-03-02 12:00:00,0.027432,-3595300.0,sell,sell,USTC
2023-03-02 13:00:00,0.027062,-2153813.0,sell,sell,USTC
2023-03-02 14:00:00,0.02709999,-2035806.0,sell,buy,USTC
2023-03-02 15:00:00,0.0272629,18759.9559077,buy,buy,BUSD
2023-03-02 16:00:00,0.02683144,-3514054.0,sell,sell,USTC
2023-03-02 17:00:00,0.02692966,-1802799.0,sell,buy,USTC
2023-03-02 18:00:00,0.02698016,-276780.0,sell,buy,USTC
2023-03-02 19:00:00,0.02713905,25527.01756905,buy,buy,BUSD
2023-03-02 20:00:00,0.02708136,-366833.0,sell,sell,USTC
2023-03-02 21:00:00,0.02699584,-3938941.0,sell,sell,USTC
2023-03-02 22:00:00,0.02701703,-412395.0,sell,buy,USTC
2023-03-02 23:00:00,0.02698647,-43163.0,sell,sell,USTC
2023-03-03 00:00:00,0.02702463,60981.59106297,buy,buy,BUSD
2023-03-03 01:00:00,0.02402287,-24319372.0,sell,sell,USTC
2023-03-03 02:00:00,0.02437177,-1181297.0,sell,buy,USTC
2023-03-03 03:00:00,0.02466697,10984.54707858,buy,buy,BUSD
2023-03-03 04:00:00,0.0249864,44060.168222399996,buy,buy,BUSD
2023-03-03 05:00:00,0.02481876,-569083.0,sell,sell,USTC
2023-03-03 06:00:00,0.0249317,3280.2139056,buy,buy,BUSD
2023-03-03 07:00:00,0.02496185,7622.9496004,buy,buy,BUSD
2023-03-03 08:00:00,0.02511101,-398938.0,sell,buy,USTC
2023-03-03 09:00:00,0.02510796,-2103483.0,sell,sell,USTC
2023-03-03 10:00:00,0.02505902,14780.23599934,buy,sell,BUSD
2023-03-03 11:00:00,0.02494535,-1377944.0,sell,sell,USTC
2023-03-03 12:00:00,0.02497351,-567352.0,sell,buy,USTC
2023-03-03 13:00:00,0.025181,-1362799.0,sell,buy,USTC
2023-03-03 14:00:00,0.02500865,-1222741.0,sell,sell,USTC
2023-03-03 15:00:00,0.02496734,-201069.0,sell,sell,USTC
2023-03-03 16:00:00,0.0253917,99290.5356618,buy,buy,BUSD
2023-03-03 17:00:00,0.02553333,90607.574838,buy,buy,BUSD
2023-03-03 18:00:00,0.02522537,-768093.0,sell,sell,USTC
2023-03-03 19:00:00,0.02548155,49482.876760499996,buy,buy,BUSD
2023-03-03 20:00:00,0.02532,-648792.0,sell,sell,USTC
2023-03-03 21:00:00,0.02513999,-3425146.0,sell,sell,USTC
2023-03-03 22:00:00,0.02542,-753706.0,sell,buy,USTC
2023-03-03 23:00:00,0.02531165,-259397.0,sell,sell,USTC
2023-03-04 00:00:00,0.02546086,914.6559346399999,buy,buy,BUSD
2023-03-04 01:00:00,0.025282,3579.728944,buy,sell,BUSD
2023-03-04 02:00:00,0.02532143,-116070.0,sell,buy,USTC
2023-03-04 03:00:00,0.02517747,-514232.0,sell,sell,USTC
2023-03-04 04:00:00,0.02510005,-2151179.0,sell,sell,USTC
2023-03-04 05:00:00,0.02508845,-2026962.0,sell,sell,USTC
2023-03-04 06:00:00,0.02534999,16148.39992982,buy,buy,BUSD
2023-03-04 07:00:00,0.02522787,-662578.0,sell,sell,USTC
2023-03-04 08:00:00,0.02514999,-1344071.0,sell,sell,USTC
2023-03-04 09:00:00,0.02487699,-1608897.0,sell,sell,USTC
2023-03-04 10:00:00,0.02482845,4444.5408345,buy,sell,BUSD
2023-03-04 11:00:00,0.02525128,61916.441575360004,buy,buy,BUSD
2023-03-04 12:00:00,0.02516593,5907.77756529,buy,sell,BUSD
2023-03-04 13:00:00,0.02502698,-1281935.0,sell,sell,USTC
2023-03-04 14:00:00,0.02478107,5143.261516359999,buy,sell,BUSD
2023-03-04 15:00:00,0.02495775,17168.11177425,buy,buy,BUSD
2023-03-04 16:00:00,0.02487323,-849202.0,sell,sell,USTC
2023-03-04 17:00:00,0.02467597,-2432212.0,sell,sell,USTC
2023-03-04 18:00:00,0.02473176,-553439.0,sell,buy,USTC
2023-03-04 19:00:00,0.02448944,-1769810.0,sell,sell,USTC
2023-03-04 20:00:00,0.0241856,-3935641.0,sell,sell,USTC
2023-03-04 21:00:00,0.02381285,-2722617.0,sell,sell,USTC
2023-03-04 22:00:00,0.02402855,-335677.0,sell,buy,USTC
2023-03-04 23:00:00,0.0242,10771.783,buy,buy,BUSD
2023-03-05 00:00:00,0.02440042,12073.91342608,buy,buy,BUSD
2023-03-05 01:00:00,0.0246454,31270.206747,buy,buy,BUSD
2023-03-05 02:00:00,0.02427678,-915726.0,sell,sell,USTC
2023-03-05 03:00:00,0.02437323,-392954.0,sell,buy,USTC
2023-03-05 04:00:00,0.02461823,10970.49874375,buy,buy,BUSD
2023-03-05 05:00:00,0.02455032,15594.41236464,buy,sell,BUSD
2023-03-05 06:00:00,0.02457331,-431069.0,sell,buy,USTC
2023-03-05 07:00:00,0.02452682,10682.656451,buy,sell,BUSD
2023-03-05 08:00:00,0.02419,-117888.0,sell,sell,USTC
2023-03-05 09:00:00,0.02457054,4160.08726848,buy,buy,BUSD
2023-03-05 10:00:00,0.02446669,5553.03336247,buy,sell,BUSD
2023-03-05 11:00:00,0.02425,-257579.0,sell,sell,USTC
2023-03-05 12:00:00,0.02444679,50174.1028602,buy,buy,BUSD
2023-03-05 13:00:00,0.024,-1943444.0,sell,sell,USTC
2023-03-05 14:00:00,0.0241601,2865.0979388,buy,buy,BUSD
2023-03-05 15:00:00,0.02425809,10865.17425291,buy,buy,BUSD
2023-03-05 16:00:00,0.0242554,-245605.0,sell,buy,USTC
2023-03-05 17:00:00,0.02412723,12357.29164356,buy,sell,BUSD
2023-03-05 18:00:00,0.02422218,5780.72014572,buy,buy,BUSD
2023-03-05 19:00:00,0.02410089,-644872.0,sell,sell,USTC
2023-03-05 20:00:00,0.02421827,19420.92133224,buy,buy,BUSD
2023-03-05 21:00:00,0.02429908,-184019.0,sell,buy,USTC
2023-03-05 22:00:00,0.02410002,-72504.0,sell,sell,USTC
2023-03-05 23:00:00,0.02392837,-2618273.0,sell,sell,USTC
2023-03-06 00:00:00,0.02449991,165106.04498577,buy,buy,BUSD
2023-03-06 01:00:00,0.02436009,-937865.0,sell,sell,USTC
2023-03-06 02:00:00,0.02407584,-5741372.0,sell,sell,USTC
2023-03-06 03:00:00,0.02405521,-1062426.0,sell,sell,USTC
2023-03-06 04:00:00,0.0239928,-419813.0,sell,sell,USTC
2023-03-06 05:00:00,0.0239,-468872.0,sell,sell,USTC
2023-03-06 06:00:00,0.02403831,13400.51648415,buy,buy,BUSD
2023-03-06 07:00:00,0.0241535,24.660723500000003,buy,buy,BUSD
2023-03-06 08:00:00,0.0241,-1486669.0,sell,sell,USTC
2023-03-06 09:00:00,0.02404758,1810.20563208,buy,sell,BUSD
2023-03-06 10:00:00,0.02410942,17928.753198219998,buy,buy,BUSD
2023-03-06 11:00:00,0.02412399,-51349.0,sell,buy,USTC
2023-03-06 12:00:00,0.02451084,65685.96283416,buy,buy,BUSD
